POL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
60001;Centralny Okreg Przemyslowy;T2700;4;1900;2000;mechanics;artillery;technical_efficiency;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60002;Stefan Banach;T2701;8;1930;1945;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60003;Stanislaw Ulam;T2702;7;1930;1938;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60004;Panstwowa Wytwórnia Uzbrojenia;T2703;5;1927;2000;general_equipment;artillery;munitions;rt_user_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60005;Zaklady Starachowickie;T2704;5;1900;2000;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60006;PWS;T2705;4;1920;2000;aeronautics;fighter_design;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60007;PZInz;T2706;6;1920;2000;mechanics;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60008;PZL;T2707;5;1920;2000;aeronautics;avionics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60009;Stocznia Gdynia;T2708;4;1900;2000;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60010;Tadeusz Kutrzeba;T2709;4;1930;1944;centralized_execution;large_unit_tactics;training;infantry_focus;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60011;Marian Rejewski;T2710;7;1930;1939;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60012;Ludomil Rayski;T2711;4;1930;1944;fighter_tactics;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60013;Jerzy Swirski;T2712;4;1930;1944;naval_training;small_taskforce_tactics;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60014;Ministry of National Defence;T2713;4;1945;2000;large_unit_tactics;centralized_execution;small_taskforce_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60015;Józef Pilsudski;100399;4;1904;1935;management;small_unit_tactics;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60016;Tadeusz Tanski;100400;2;1919;1940;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60017;Gerlach & Pulst;100401;2;1919;1940;artillery;general_equipment;rt_user_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60018;CWS;100402;3;1918;1940;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60019;Karkoz and Dziecielewski;100403;2;1919;1940;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60100;Biuro Szyfrow Oddzialu II;TPL2700;7;1918;2000;mathematics;electronics;mechanics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;
